"ICAO Code","IATA Type Code","Model","Wikipedia Link"
"B733","73Y","Boeing 737-300 Freighter","https://en.wikipedia.org/wiki/Boeing_737_Classic"
"B734","734","Boeing 737-400","https://en.wikipedia.org/wiki/Boeing_737_Classic"
"B734","73P","Boeing 737-400 Freighter","https://en.wikipedia.org/wiki/Boeing_737_Classic"
"B735","735","Boeing 737-500","https://en.wikipedia.org/wiki/Boeing_737_Classic"
"B735","73E","Boeing 737-500 Winglets","https://en.wikipedia.org/wiki/Boeing_737_Classic"
"B736","736","Boeing 737-600","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B738","738","Boeing 737-800","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B739","739","Boeing 737-900 / Boeing 737-900ER","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B737","73G","Boeing 737-700 / Boeing 737-700ER","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B737","73W","Boeing 737-700 Winglets","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B738","73H","Boeing 737-800 Winglets","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B738","73K","Boeing 737-800 Freighter Winglets","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B738","73U","Boeing 737-800 Freighter","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B739","73J","Boeing 737-900 Winglets","https://en.wikipedia.org/wiki/Boeing_737_Next_Generation"
"B741","741","Boeing 747-100","https://en.wikipedia.org/wiki/Boeing_747"
"B741","74T","Boeing 747-100 Freighter","https://en.wikipedia.org/wiki/Boeing_747"
"B742","742","Boeing 747-200","https://en.wikipedia.org/wiki/Boeing_747"
"B742","74C","Boeing 747-200M","https://en.wikipedia.org/wiki/Boeing_747"
"B742","74X","Boeing 747-200F","https://en.wikipedia.org/wiki/Boeing_747"
"B743","743","Boeing 747-300","https://en.wikipedia.org/wiki/Boeing_747"
"B743","74D","Boeing 747-300M","https://en.wikipedia.org/wiki/Boeing_747"
"B744","744","Boeing 747-400 / Boeing 747-400ER","https://en.wikipedia.org/wiki/Boeing_747-400"
"B744","74E","Boeing 747-400M","https://en.wikipedia.org/wiki/Boeing_747-400"
"B744","74Y","Boeing 747-400F / Boeing 747-400ERF","https://en.wikipedia.org/wiki/Boeing_747-400"
"B748","74H","Boeing 747-8I","https://en.wikipedia.org/wiki/Boeing_747-8"
"B748","74N","Boeing 747-8F","https://en.wikipedia.org/wiki/Boeing_747-8"
"B74R","74R","Boeing 747SR","https://en.wikipedia.org/wiki/Boeing_747"
"B74R","74V","Boeing 747SR Freighter","https://en.wikipedia.org/wiki/Boeing_747"
"B74S","74L","Boeing 747SP","https://en.wikipedia.org/wiki/Boeing_747SP"
"B752","752","Boeing 757-200","https://en.wikipedia.org/wiki/Boeing_757"
"B752","75F","Boeing 757F","https://en.wikipedia.org/wiki/Boeing_757"
"B752","75W","Boeing 757-200 Winglets","https://en.wikipedia.org/wiki/Boeing_757"
"B753","753","Boeing 757-300","https://en.wikipedia.org/wiki/Boeing_757"
"B762","762","Boeing 767-200 / Boeing 767-200ER","https://en.wikipedia.org/wiki/Boeing_767"
"B762","76X","Boeing 767-200 Freighter / Boeing 767-200ER","https://en.wikipedia.org/wiki/Boeing_767"
"B763","763","Boeing 767-300","https://en.wikipedia.org/wiki/Boeing_767"
"B763","76W","Boeing 767-300 Winglets / Boeing 767-300ER","https://en.wikipedia.org/wiki/Boeing_767"
"B763","76Y","Boeing 767-300 Freighter","https://en.wikipedia.org/wiki/Boeing_767"
"B764","764","Boeing 767-400ER","https://en.wikipedia.org/wiki/Boeing_767"
"B772","772","Boeing 777-200 / Boeing 777-200ER","https://en.wikipedia.org/wiki/Boeing_777"
"B773","773","Boeing 777-300","https://en.wikipedia.org/wiki/Boeing_777"
"B778","778","Boeing 777-8","https://en.wikipedia.org/wiki/Boeing_777X#777-8"
"B779","779","Boeing 777-9","https://en.wikipedia.org/wiki/Boeing_777X#777-9"
"B77L","77X","Boeing 777-200 Freighter","https://en.wikipedia.org/wiki/Boeing_777#777_Freighter"
"B77L","77L","Boeing 777-200LR","https://en.wikipedia.org/wiki/Boeing_777#777-200LR"
"B77W","77W","Boeing 777-300ER","https://en.wikipedia.org/wiki/Boeing_777#777-300ER"
"B788","788","Boeing 787-8","https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#787-8"
"B789","789","Boeing 787-9","https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#787-9"
"B78X","781","Boeing 787-10","https://en.wikipedia.org/wiki/Boeing_787_Dreamliner#787-10"
"BA11","B11","British Aerospace (BAC) One Eleven","https://en.wikipedia.org/wiki/BAC_One-Eleven"
"BCS1","221","Bombardier CSeries CS100 / Airbus A220-100","https://en.wikipedia.org/wiki/Airbus_A220"
"BCS3","223","Bombardier CSeries CS300 / Airbus A220-300","https://en.wikipedia.org/wiki/Airbus_A220"
"BE20","","Beechcraft (Super) King Air 200","https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air"
"BE40","","Hawker 400","https://en.wikipedia.org/wiki/Hawker_400"
"BE99","","Beechcraft Model 99","https://en.wikipedia.org/wiki/Beechcraft_Model_99"
"BELF","SHB","Shorts SC-5 Belfast","https://en.wikipedia.org/wiki/Short_Belfast"
"BER2","","Beriev Be-200 Altair","https://en.wikipedia.org/wiki/Beriev_Be-200"
"BLCF","74B","Boeing 747-400 LCF Dreamlifter","https://en.wikipedia.org/wiki/Boeing_Dreamlifter"
"C130","LOH","Lockheed L-182 / 282 / 382 (L-100) Hercules","https://en.wikipedia.org/wiki/Lockheed_L-100_Hercules"
"C212","CS2","CASA / IPTN 212 Aviocar","https://en.wikipedia.org/wiki/CASA_C-212_Aviocar"
"C25A","CNJ","Cessna Citation CJ2","https://en.wikipedia.org/wiki/Cessna_CitationJet"
"C25B","CNJ","Cessna Citation CJ3","https://en.wikipedia.org/wiki/Cessna_CitationJet"
"C25C","CNJ","Cessna Citation CJ4","https://en.wikipedia.org/wiki/Cessna_CitationJet"
"C30J","LOH","Lockheed Martin C-130J Hercules","https://en.wikipedia.org/wiki/Lockheed_Martin_C-130J_Hercules"
"C5M","N/A","Lockheed C-5M Super Galaxy","https://en.wikipedia.org/wiki/Lockheed_C-5_Galaxy"
"C500","CNJ","Cessna Citation I","https://en.wikipedia.org/wiki/Cessna_Citation_I"
"C510","CNJ","Cessna Citation Mustang","https://en.wikipedia.org/wiki/Cessna_Citation_Mustang"
"C525","CNJ","Cessna CitationJet","https://en.wikipedia.org/wiki/Cessna_CitationJet"
"C550","CNJ","Cessna Citation II","https://en.wikipedia.org/wiki/Cessna_Citation_II"
"C560","CNJ","Cessna Citation V","https://en.wikipedia.org/wiki/Cessna_Citation_V"
"C56X","CNJ","Cessna Citation Excel","https://en.wikipedia.org/wiki/Cessna_Citation_Excel"
"C650","CNJ","Cessna Citation III, VI, VII","https://en.wikipedia.org/wiki/Cessna_Citation_III"
